Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Robert Bortuzzo (14426520),Robert Bortuzzo,14426520,D/UTIL,2500,STL@CHI 03/08/2020 07:30PM ET,STL,3.54
D,Calvin de Haan (14426538),Calvin de Haan,14426538,D/UTIL,2500,STL@CHI 03/08/2020 07:30PM ET,CHI,8.57
D,Lucas Carlsson (14426540),Lucas Carlsson,14426540,D/UTIL,2500,STL@CHI 03/08/2020 07:30PM ET,CHI,2.34
D,Jay Bouwmeester (14426566),Jay Bouwmeester,14426566,D/UTIL,2500,STL@CHI 03/08/2020 07:30PM ET,STL,4.22
D,Dennis Gilbert (14426576),Dennis Gilbert,14426576,D/UTIL,2500,STL@CHI 03/08/2020 07:30PM ET,CHI,4.35
D,Ian McCoshen (14426578),Ian McCoshen,14426578,D/UTIL,2500,STL@CHI 03/08/2020 07:30PM ET,CHI,0
D,Nicolas Beaudin (14426580),Nicolas Beaudin,14426580,D/UTIL,2500,STL@CHI 03/08/2020 07:30PM ET,CHI,0
D,Derrick Pouliot (14426584),Derrick Pouliot,14426584,D/UTIL,2500,STL@CHI 03/08/2020 07:30PM ET,STL,1.4
D,Niko Mikkola (14426586),Niko Mikkola,14426586,D/UTIL,2500,STL@CHI 03/08/2020 07:30PM ET,STL,4.78
D,Jake Walman (14426588),Jake Walman,14426588,D/UTIL,2500,STL@CHI 03/08/2020 07:30PM ET,STL,2.8
D,Jake Dotchin (14426590),Jake Dotchin,14426590,D/UTIL,2500,STL@CHI 03/08/2020 07:30PM ET,STL,0
D,Mitch Reinke (14426592),Mitch Reinke,14426592,D/UTIL,2500,STL@CHI 03/08/2020 07:30PM ET,STL,0
D,Petteri Lindbohm (14426594),Petteri Lindbohm,14426594,D/UTIL,2500,STL@CHI 03/08/2020 07:30PM ET,STL,0
C,Mark Jankowski (14425914),Mark Jankowski,14425914,C/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,2.82
C,Alan Quine (14425962),Alan Quine,14425962,C/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,3.23
C,Matthew Phillips (14425964),Matthew Phillips,14425964,C/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,0
C,Byron Froese (14425966),Byron Froese,14425966,C/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,0
C,Patrick Brown (14425968),Patrick Brown,14425968,C/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,11.5
C,Gage Quinney (14425970),Gage Quinney,14425970,C/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,2.67
C,Peyton Krebs (14425972),Peyton Krebs,14425972,C/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,0
RW,Nicolas Roy (14426156),Nicolas Roy,14426156,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,4.60
LW,Milan Lucic (14426172),Milan Lucic,14426172,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,3.96
LW,Brandon Pirri (14426174),Brandon Pirri,14426174,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,3.3
RW,Sam Bennett (14426202),Sam Bennett,14426202,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,4.47
LW,Tobias Rieder (14426204),Tobias Rieder,14426204,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,3.95
RW,Ryan Reaves (14426206),Ryan Reaves,14426206,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,3.12
LW,William Carrier (14426208),William Carrier,14426208,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,4.07
LW,Zac Rinaldo (14426230),Zac Rinaldo,14426230,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,4.3
RW,Buddy Robinson (14426298),Buddy Robinson,14426298,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,4.8
RW,Austin Czarnik (14426300),Austin Czarnik,14426300,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,4.76
LW,Justin Kirkland (14426302),Justin Kirkland,14426302,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,0
RW,Spencer Foo (14426304),Spencer Foo,14426304,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,0
LW,Ryan Lomberg (14426306),Ryan Lomberg,14426306,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,0
LW,Jakob Pelletier (14426308),Jakob Pelletier,14426308,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,0
RW,Cody Glass (14426310),Cody Glass,14426310,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,4.23
LW,Valentin Zykov (14426312),Valentin Zykov,14426312,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,3.93
LW,Tyrell Goulbourne (14426314),Tyrell Goulbourne,14426314,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,0
LW,Curtis McKenzie (14426316),Curtis McKenzie,14426316,W/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,0
D,Derek Forbort (14426526),Derek Forbort,14426526,D/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,4.54
D,Zach Whitecloud (14426528),Zach Whitecloud,14426528,D/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,2.93
D,Oliver Kylington (14426548),Oliver Kylington,14426548,D/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,3.02
D,Jon Merrill (14426550),Jon Merrill,14426550,D/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,4.43
D,Juuso Valimaki (14426568),Juuso Valimaki,14426568,D/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,0
D,Alexander Yelesin (14426612),Alexander Yelesin,14426612,D/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,0.75
D,Rinat Valiev (14426614),Rinat Valiev,14426614,D/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,CGY,0
D,Jake Bischoff (14426616),Jake Bischoff,14426616,D/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,6.35
D,Nicolas Hague (14426618),Nicolas Hague,14426618,D/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,4.72
D,Jaycob Megna (14426620),Jaycob Megna,14426620,D/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,0
D,Jimmy Schuldt (14426622),Jimmy Schuldt,14426622,D/UTIL,2500,VGK@CGY 03/08/2020 07:00PM ET,VGK,0
C,David Backes (14425912),David Backes,14425912,C/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,4.10
C,Ryan Kesler (14425926),Ryan Kesler,14425926,C/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,0
C,Victor Rask (14425930),Victor Rask,14425930,C/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,MIN,3.33
C,Isac Lundestrom (14425950),Isac Lundestrom,14425950,C/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,3.03
C,Sam Carrick (14425952),Sam Carrick,14425952,C/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,5.88
C,Chase De Leo (14425954),Chase De Leo,14425954,C/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,1.5
C,Antoine Morand (14425956),Antoine Morand,14425956,C/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,0
C,Andrew Poturalski (14425958),Andrew Poturalski,14425958,C/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,0
C,Justin Kloos (14425960),Justin Kloos,14425960,C/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,0
C,Luke Johnson (14425988),Luke Johnson,14425988,C/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,MIN,0.5
C,Nico Sturm (14425990),Nico Sturm,14425990,C/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,MIN,3.25
C,Gabriel Dumont (14425992),Gabriel Dumont,14425992,C/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,MIN,2.37
C,Kyle Rau (14425994),Kyle Rau,14425994,C/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,MIN,0
RW,Gerald Mayhew (14426158),Gerald Mayhew,14426158,W/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,MIN,3.98
RW,Kiefer Sherwood (14426168),Kiefer Sherwood,14426168,W/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,4.33
LW,Andrew Agozzino (14426170),Andrew Agozzino,14426170,W/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,1.94
LW,Nicolas Deslauriers (14426198),Nicolas Deslauriers,14426198,W/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,3.42
RW,Carter Rowney (14426200),Carter Rowney,14426200,W/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,3.98
LW,Max Jones (14426226),Max Jones,14426226,W/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,4.56
RW,Patrick Eaves (14426228),Patrick Eaves,14426228,W/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,0
LW,Max Comtois (14426288),Max Comtois,14426288,W/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,4.62
LW,Blake Pietila (14426290),Blake Pietila,14426290,W/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,0
RW,Deven Sideroff (14426292),Deven Sideroff,14426292,W/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,0
RW,Nick Sorensen (14426294),Nick Sorensen,14426294,W/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,0
LW,Brayden Tracey (14426296),Brayden Tracey,14426296,W/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,0
RW,J.T. Brown (14426354),J.T. Brown,14426354,W/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,MIN,0
RW,Dmitry Sokolov (14426356),Dmitry Sokolov,14426356,W/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,MIN,0
LW,Colton Beck (14426358),Colton Beck,14426358,W/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,MIN,0
D,Christian Djoos (14426522),Christian Djoos,14426522,D/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,3.8
D,Jani Hakanpaa (14426524),Jani Hakanpaa,14426524,D/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,2.15
D,Simon Benoit (14426546),Simon Benoit,14426546,D/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,0
D,Carson Soucy (14426560),Carson Soucy,14426560,D/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,MIN,4.87
D,Matt Bartkowski (14426562),Matt Bartkowski,14426562,D/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,MIN,0
D,Joel Persson (14426606),Joel Persson,14426606,D/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,3.96
D,Josh Mahura (14426608),Josh Mahura,14426608,D/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,5.21
D,Chris Wideman (14426610),Chris Wideman,14426610,D/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,ANH,0
D,Brennan Menell (14426646),Brennan Menell,14426646,D/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,MIN,2.24
D,Louie Belpedio (14426648),Louie Belpedio,14426648,D/UTIL,2500,MIN@ANH 03/08/2020 09:00PM ET,MIN,0
C,Riley Nash (14425904),Riley Nash,14425904,C/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,CLS,3.77
C,Brandon Dubinsky (14425920),Brandon Dubinsky,14425920,C/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,CLS,0
C,Jay Beagle (14425924),Jay Beagle,14425924,C/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,VAN,3.53
C,Liam Foudy (14425936),Liam Foudy,14425936,C/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,CLS,4.75
C,Calvin Thurkauf (14425938),Calvin Thurkauf,14425938,C/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,CLS,0.5
C,Justin Scott (14425940),Justin Scott,14425940,C/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,CLS,0
C,Zac Dalpe (14425942),Zac Dalpe,14425942,C/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,CLS,0
C,Tyler Graovac (14425946),Tyler Graovac,14425946,C/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,VAN,3.55
C,Reid Boucher (14425948),Reid Boucher,14425948,C/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,VAN,0
RW,Eric Robinson (14426160),Eric Robinson,14426160,W/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,CLS,4.12
LW,Antoine Roussel (14426164),Antoine Roussel,14426164,W/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,VAN,4.92
RW,Zack MacEwen (14426166),Zack MacEwen,14426166,W/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,VAN,4.35
LW,Jakob Lilja (14426190),Jakob Lilja,14426190,W/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,CLS,2.83
LW,Tyler Motte (14426196),Tyler Motte,14426196,W/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,VAN,4.94
RW,Ryan MacInnis (14426220),Ryan MacInnis,14426220,W/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,CLS,2.84
LW,Micheal Ferland (14426224),Micheal Ferland,14426224,W/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,VAN,3.83
RW,Kole Sherwood (14426264),Kole Sherwood,14426264,W/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,CLS,3.43
LW,Marko Dano (14426266),Marko Dano,14426266,W/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,CLS,3.3
LW,Alexandre Texier (14426268),Alexandre Texier,14426268,W/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,CLS,4.68
RW,Lukas Sedlak (14426270),Lukas Sedlak,14426270,W/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,CLS,0
LW,Nikolay Goldobin (14426282),Nikolay Goldobin,14426282,W/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,VAN,0
LW,Sven Baertschi (14426284),Sven Baertschi,14426284,W/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,VAN,3.42
RW,Justin Bailey (14426286),Justin Bailey,14426286,W/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,VAN,0.75
D,Andrew Peeke (14426516),Andrew Peeke,14426516,D/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,CLS,4.1
D,Scott Harrington (14426518),Scott Harrington,14426518,D/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,CLS,4.56
D,Gabriel Carlsson (14426542),Gabriel Carlsson,14426542,D/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,CLS,0.75
D,Guillaume Brisebois (14426544),Guillaume Brisebois,14426544,D/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,VAN,0
D,Dean Kukan (14426564),Dean Kukan,14426564,D/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,CLS,4.65
D,Adam Clendening (14426582),Adam Clendening,14426582,D/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,CLS,0
D,Nikita Tryamkin (14426596),Nikita Tryamkin,14426596,D/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,VAN,0
D,Jalen Chatfield (14426598),Jalen Chatfield,14426598,D/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,VAN,0
D,Josh Teves (14426600),Josh Teves,14426600,D/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,VAN,0
D,Ashton Sautner (14426602),Ashton Sautner,14426602,D/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,VAN,1.5
D,Brogan Rafferty (14426604),Brogan Rafferty,14426604,D/UTIL,2500,CLS@VAN 03/08/2020 10:00PM ET,VAN,0
C,Vladislav Kamenev (14425908),Vladislav Kamenev,14425908,C/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,COL,3.12
C,Antti Suomela (14425918),Antti Suomela,14425918,C/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,3.92
C,Alexander True (14425928),Alexander True,14425928,C/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,3.69
C,Colin Wilson (14425932),Colin Wilson,14425932,C/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,COL,4.84
C,Maxim Letunov (14425982),Maxim Letunov,14425982,C/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,4.77
C,Manuel Wiederer (14425984),Manuel Wiederer,14425984,C/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,0
C,Jonathan Dahlen (14425986),Jonathan Dahlen,14425986,C/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,0
RW,Noah Gregor (14426154),Noah Gregor,14426154,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,2.85
LW,Marcus Sorensen (14426178),Marcus Sorensen,14426178,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,3.91
RW,Dylan Gambrell (14426180),Dylan Gambrell,14426180,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,3.72
RW,Logan O'Connor (14426182),Logan O'Connor,14426182,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,COL,3.41
LW,Sheldon Dries (14426184),Sheldon Dries,14426184,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,COL,1.4
RW,Stefan Noesen (14426214),Stefan Noesen,14426214,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,5.10
LW,Melker Karlsson (14426216),Melker Karlsson,14426216,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,3.43
LW,Lean Bergmann (14426238),Lean Bergmann,14426238,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,2.82
RW,Martin Kaut (14426244),Martin Kaut,14426244,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,COL,4.81
RW,Jayson Megna (14426246),Jayson Megna,14426246,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,COL,1.56
RW,T.J. Tynan (14426248),T.J. Tynan,14426248,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,COL,1.21
LW,A.J. Greer (14426250),A.J. Greer,14426250,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,COL,0
RW,Nick Henry (14426252),Nick Henry,14426252,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,COL,0
LW,Lukas Radil (14426340),Lukas Radil,14426340,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,1.47
RW,Jonny Brodzinski (14426342),Jonny Brodzinski,14426342,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,4.17
RW,Joachim Blichfeld (14426344),Joachim Blichfeld,14426344,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,3.23
LW,Danil Yurtaykin (14426346),Danil Yurtaykin,14426346,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,1.4
LW,Ivan Chekhovich (14426348),Ivan Chekhovich,14426348,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,0
LW,Jayden Halbgewachs (14426350),Jayden Halbgewachs,14426350,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,0
RW,Anthony Greco (14426352),Anthony Greco,14426352,W/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,0
D,Tim Heed (14426536),Tim Heed,14426536,D/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,3.81
D,Dalton Prout (14426556),Dalton Prout,14426556,D/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,3.45
D,Jacob Middleton (14426558),Jacob Middleton,14426558,D/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,3
D,Anton Lindholm (14426572),Anton Lindholm,14426572,D/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,COL,4
D,Mark Alt (14426574),Mark Alt,14426574,D/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,COL,0
D,Trevor Carrick (14426638),Trevor Carrick,14426638,D/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,0.5
D,Nick DeSimone (14426640),Nick DeSimone,14426640,D/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,0
D,Ryan Merkley (14426642),Ryan Merkley,14426642,D/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,0
D,Nicolas Meloche (14426644),Nicolas Meloche,14426644,D/UTIL,2500,COL@SJ 03/08/2020 10:00PM ET,SJ,0
